LSOA11CD,AverageTravelDistance,AccessibilityViaPublicTransport,OnlineGroceryAvailability
E01000001,13.221,3.254152753,8
E01000002,13.257,4.292188383,8
E01000003,13.664,3.739886357,8
E01000005,13.755,1.683699595,8
E01000006,16.797,6.769280526,8
E01000007,16.566,4.126790212,8
E01000008,16.447,7.674954362,8
E01000009,16.71,2.430833339,8
E01000010,16.84,2.035469782,8
E01000011,16.687,4.799424483,8
E01000012,16.544,6.050779168,8
E01000013,18.341,5.537305761,8
E01000014,18.256,7.363062685,8
E01000015,18.584,8.756528782,8
E01000016,18.556,4.579362219,8
E01000017,18.413,5.060592809,8
E01000018,18.524,7.87891976,8
E01000019,17.947,4.313389343,8
E01000020,18.003,3.419451289,8
E01000021,17.745,3.211852676,8
E01000022,17.866,5.363641388,8
E01000023,17.603,4.845845137,8
E01000024,17.8,7.6570225,8
E01000025,17.699,7.140850777,8
E01000027,19.347,8.102663442,7
E01000028,19.055,7.035327976,7
E01000029,18.963,4.176940888,7
E01000030,19.143,4.126200526,7
E01000031,19.269,8.278551394,7
E01000032,18.769,4.789399127,7
E01000033,18.978,6.66452102,8
E01000034,19.144,7.757751364,8
E01000035,18.917,6.267787448,8
E01000036,18.818,7.98346784,8
E01000037,20.051,6.660979213,7
E01000038,19.404,3.38029759,7
E01000039,19.546,8.999088209,7
E01000040,16.978,4.318610515,8
E01000041,17.475,6.705778621,8
E01000042,17.21,8.565344416,8
E01000043,16.983,5.88211298,8
E01000044,16.817,4.625577847,8
E01000045,17.355,3.045431751,8
E01000046,17.555,8.052903641,8
E01000048,16.585,7.115708264,8
E01000049,16.607,5.107418853,8
E01000050,16.675,4.617266662,8
E01000051,16.584,4.396251205,8
E01000052,16.819,3.897730895,8
E01000053,18.105,5.443325208,8
E01000054,17.869,7.610658562,8
E01000055,17.697,7.101253806,8
E01000056,17.949,9.175695064,8
E01000057,17.742,3.570103287,8
E01000058,17.997,8.787843855,8
E01000059,18.1,8.339928887,8
E01000060,18.725,3.940326998,8
E01000061,18.794,5.944316664,8
E01000062,18.652,4.406967843,8
E01000063,18.521,4.831169584,8
E01000064,18.797,6.221352124,8
E01000065,18.39,4.612223507,8
E01000066,17.368,10.55521814,8
E01000067,17.247,7.186300629,8
E01000068,16.888,8.930598524,8
E01000069,17.464,8.144943908,8
E01000070,17.318,4.670613896,8
E01000071,17.406,11.82739061,8
E01000072,17.491,3.754298532,8
E01000073,17.594,7.81443016,8
E01000074,17.702,9.886134197,8
E01000075,17.765,5.547778953,8
E01000076,17.613,6.151170343,8
E01000077,17.898,7.442952519,8
E01000078,18.113,3.531552277,8
E01000079,18.248,5.477086169,8
E01000080,18.001,8.071065338,8
E01000081,18.216,5.508185213,8
E01000082,18.294,5.717823368,8
E01000083,18.038,3.701872059,8
E01000084,18.263,5.426463488,8
E01000085,18.366,3.886936046,8
E01000086,18.237,6.621695393,8
E01000087,18.341,4.037658011,8
E01000088,18.467,3.32039091,8
E01000089,18.593,9.071837579,8
E01000090,18.551,6.457272637,8
E01000091,17.189,5.958659626,8
E01000092,16.901,11.98163357,8
E01000093,17.002,4.51308574,8
E01000094,17.336,12.75875551,8
E01000095,17.69,10.019261,8
E01000096,17.394,7.570344443,8
E01000097,18.276,10.20444626,8
E01000098,18.145,6.239381087,8
E01000099,18.302,10.22670586,8
E01000100,18.418,8.745005659,8
E01000101,18.545,4.454491141,8
E01000102,18.175,6.758696354,8
E01000103,18.842,7.439059788,8
E01000104,18.851,3.915785012,8
E01000105,18.488,6.215572992,8
E01000106,18.656,3.525044505,8
E01000107,19.121,8.069602412,8
E01000108,18.862,2.916462095,7
E01000109,18.542,10.08660931,8
E01000110,19.376,4.128965564,7
E01000111,18.819,6.683076666,8
E01000112,18.72,5.674859897,7
E01000113,18.56,3.223997717,7
E01000114,18.786,4.38787236,8
E01000115,18.038,7.357134682,8
E01000116,17.924,6.617571273,8
E01000117,17.954,7.652294072,8
E01000118,17.819,7.494767949,8
E01000119,17.69,8.612601662,8
E01000120,17.803,5.286380493,8
E01000121,17.722,9.527699426,8
E01000122,17.46,10.16765053,8
E01000123,17.278,5.878569003,8
E01000124,17.095,3.043286298,8
E01000125,17.936,5.59441135,8
E01000126,17.519,11.04385192,8
E01000127,17.842,5.693197886,8
E01000128,17.642,6.532199524,8
E01000129,17.689,3.193305154,8
E01000130,17.704,12.28365194,8
E01000131,17.436,5.865797928,8
E01000132,17.981,4.818389219,8
E01000133,17.835,10.36020714,8
E01000134,18.012,8.020749968,8
E01000135,15.581,7.746439456,8
E01000136,15.44,6.487638535,8
E01000137,15.436,6.374355377,7
E01000138,15.477,8.465212798,7
E01000139,15.296,4.866898687,7
E01000140,15.318,1.948767908,7
E01000141,15.637,3.690602241,7
E01000142,15.491,7.224914749,7
E01000143,15.574,5.380883171,7
E01000144,15.751,3.710098394,8
E01000145,15.769,7.238985347,8
E01000146,15.615,2.808523685,8
E01000147,17.043,8.690659018,8
E01000148,17.204,6.674425465,8
E01000150,16.757,10.60928978,8
E01000151,17.471,8.554408956,8
E01000152,17.628,9.14538239,8
E01000153,17.666,12.25455629,8
E01000154,17.35,5.034294204,8
E01000155,17.339,3.960554697,8
E01000156,16.29,9.451925904,8
E01000157,16.395,12.90483882,8
E01000158,17.046,8.597134585,8
E01000159,17.223,7.431564806,8
E01000160,16.922,7.48392999,8
E01000161,16.938,6.581628076,8
E01000162,16.888,4.356763624,8
E01000163,16.72,11.42779703,8
E01000164,16.626,10.41263842,8
E01000165,16.731,11.28082919,8
E01000166,19.148,10.08445339,8
E01000167,19.348,11.04046674,8
E01000168,18.868,8.850639806,8
E01000169,19.004,7.811805042,8
E01000170,18.732,3.885240582,8
E01000171,18.889,3.271523811,8
E01000172,18.539,9.263155782,8
E01000173,18.483,8.046736376,8
E01000174,18.505,5.293573679,8
E01000175,18.263,10.32712548,8
E01000176,16.378,12.12552153,8
E01000177,16.196,8.88434572,8
E01000178,16.137,4.555687102,8
E01000179,16.308,12.48539881,8
E01000180,16.056,6.597480023,8
E01000181,16.039,2.595524716,8
E01000182,15.931,4.83644342,8
E01000183,16.116,11.05802026,8
E01000184,16.687,6.947184973,8
